name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia
Lipetsk	Lipezk,Lípetsk,利佩茨克,Липецк	relation	3134925	place	city	39.5752208068079	52.582726142223386	16	0.5480254568166918		Lipetsk		Lipetsk Oblast	Russia	ru	Lipetsk, Lipetsk Oblast, Central Federal District	39.422097881803104	52.491382592190334	39.81160668247597	52.71474614634811		ru:Липецк
Kaluga	卡盧加,Калуга,Kalouga	node	246459003	place	city	36.25981142252101	54.51010865097031	16	0.547295410002972		Kaluga	городской округ Калуга	Kaluga Oblast	Russia	ru	Kaluga, Kaluga, городской округ Калуга, Kaluga Oblast, Central Federal District	36.25981142252101	54.51010865097031	36.25981142252101	54.51010865097031		ru:Калуга
Makhachkala	Makhatchkala,Махачкала,Machatschkala	relation	4632505	place	city	47.51311415304254	42.965167706282976	16	0.5461852330550473		Makhachkala		Dagestan	Russia	ru	Makhachkala, Dagestan, North Caucasus federal district	47.37568647370307	42.896148475252765	47.6205545548238	43.03464718761646		ru:Махачкала
Makhachkala	Majachkalá,Makhatchkala,Махачкала,Machatschkala	node	191644503	place	city	47.49612176563266	42.975539934274565	16	0.5461852330550473		Makhachkala		Dagestan	Russia	ru	Makhachkala, Makhachkala, Dagestan, North Caucasus federal district	47.49612176563266	42.975539934274565	47.49612176563266	42.975539934274565		ru:Махачкала
Vladimir	Владимир,弗拉基米尔,Wladimir,Vladímir	node	191698855	place	city	40.40752026789178	56.12888985289317	16	0.5456132797110177		Vladimir	городской округ Владимир	Vladimir Oblast	Russia	ru	Vladimir, Vladimir, городской округ Владимир, Vladimir Oblast, Central Federal District	40.40752026789178	56.12888985289317	40.40752026789178	56.12888985289317		ru:Владимир (город)
Vladimir	Владимир,Wladimir	relation	1991003	place	city	40.34933839121946	56.121870428080506	16	0.5456132797110177		Vladimir	городской округ Владимир	Vladimir Oblast	Russia	ru	Vladimir, городской округ Владимир, Vladimir Oblast, Central Federal District	40.16496374802824	56.05186259348049	40.66212518683403	56.19197616330958		ru:Владимир (город)
Yakutsk	Iakoutsk,雅庫茨克,Якутск,Jakutsk	node	191652335	place	city	129.7320889293796	62.02728666479971	16	0.5441313381360006		Yakutsk		Sakha Republic	Russia	ru	Yakutsk, Yakutsk, Sakha Republic, Far Eastern Federal District	129.7320889293796	62.02728666479971	129.7320889293796	62.02728666479971		ru:Якутск
Penza	Пенза,Pensa	node	27505663	place	city	44.9999999691965	53.19999991822951	16	0.5429052726038219		Penza		Penza Oblast	Russia	ru	Penza, Penza, Penza Oblast, Volga Federal District	44.9999999691965	53.19999991822951	44.9999999691965	53.19999991822951		ru:Пенза
Taganrog	Таганрог,塔甘羅格	relation	1282148	place	city	38.8752549939898	47.2398935235028	16	0.5424708036327556		Taganrog		Rostov Oblast	Russia	ru	Taganrog, Rostov Oblast, South federal district	38.79297712385153	47.188712197801756	38.970147255248804	47.289942621723156	Q170513	ru:Таганрог
Taganrog	Таганрог,塔甘羅格	node	29980667	place	city	38.90336494462802	47.2136895987066	16	0.5424708036327556		Taganrog		Rostov Oblast	Russia	ru	Taganrog, Taganrog, Rostov Oblast, South federal district	38.90336494462802	47.2136895987066	38.90336494462802	47.2136895987066	Q170513	ru:Таганрог
Belgorod	Bélgorod,别尔哥罗德,Белгород	node	27119039	place	city	36.5869334664163	50.59529869662655	16	0.5414670432963363		Belgorod		Belgorod Oblast	Russia	ru	Belgorod, Belgorod, Belgorod Oblast, Central Federal District	36.5869334664163	50.59529869662655	36.5869334664163	50.59529869662655		ru:Белгород
Kolomna	Коломна,科洛姆纳	relation	1703080	place	city	38.77160740803512	55.08279237847396	16	0.5388023120016073		Kolomna		Moscow Oblast	Russia	ru	Kolomna, Moscow Oblast, Central Federal District	38.69148987841694	55.03344509700635	38.90492582263699	55.13205299106277		ru:Коломна
